trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6055445,15:09:00,15:09:00,12011445,9
RTD6055445,15:14:00,15:14:00,12135124,10
RTD6055510,15:00:00,15:00:00,12135125,1
RTD6055510,15:10:00,15:10:00,12011430,2
RTD6055510,15:15:00,15:15:00,12011377,3
RTD6055510,15:18:00,15:18:00,1537439,4
RTD6055510,15:22:00,15:22:00,12011431,5
RTD6055510,15:26:00,15:26:00,12011386,6
RTD6055510,15:30:00,15:30:00,12011322,7
RTD6055510,15:34:00,15:34:00,12011347,8
RTD6055510,15:39:00,15:39:00,12011445,9
RTD6055510,15:44:00,15:44:00,12135124,10
RTD6055446,15:00:00,15:00:00,12135125,1
RTD6055446,15:10:00,15:10:00,12011430,2
RTD6055446,15:15:00,15:15:00,12011377,3
RTD6055446,15:18:00,15:18:00,1537439,4
RTD6055446,15:22:00,15:22:00,12011431,5
RTD6055446,15:26:00,15:26:00,12011386,6
RTD6055446,15:30:00,15:30:00,12011322,7
RTD6055446,15:34:00,15:34:00,12011347,8
RTD6055446,15:39:00,15:39:00,12011445,9
RTD6055446,15:44:00,15:44:00,12135124,10
RTD6055511,15:30:00,15:30:00,12135125,1
RTD6055511,15:40:00,15:40:00,12011430,2
RTD6055511,15:45:00,15:45:00,12011377,3
RTD6055511,15:48:00,15:48:00,1537439,4
RTD6055511,15:52:00,15:52:00,12011431,5
RTD6055511,15:56:00,15:56:00,12011386,6
RTD6055511,16:00:00,16:00:00,12011322,7
RTD6055511,16:04:00,16:04:00,12011347,8
RTD6055511,16:09:00,16:09:00,12011445,9
RTD6055511,16:14:00,16:14:00,12135124,10
RTD6055447,15:30:00,15:30:00,12135125,1
RTD6055447,15:40:00,15:40:00,12011430,2
RTD6055447,15:45:00,15:45:00,12011377,3
RTD6055447,15:48:00,15:48:00,1537439,4
RTD6055447,15:52:00,15:52:00,12011431,5
RTD6055447,15:56:00,15:56:00,12011386,6
RTD6055447,16:00:00,16:00:00,12011322,7
RTD6055447,16:04:00,16:04:00,12011347,8
RTD6055447,16:09:00,16:09:00,12011445,9
RTD6055447,16:14:00,16:14:00,12135124,10
RTD6055512,16:00:00,16:00:00,12135125,1
RTD6055512,16:10:00,16:10:00,12011430,2
RTD6055512,16:15:00,16:15:00,12011377,3
RTD6055512,16:18:00,16:18:00,1537439,4
RTD6055512,16:22:00,16:22:00,12011431,5
RTD6055512,16:26:00,16:26:00,12011386,6
RTD6055512,16:30:00,16:30:00,12011322,7
RTD6055512,16:34:00,16:34:00,12011347,8
RTD6055512,16:39:00,16:39:00,12011445,9
RTD6055512,16:44:00,16:44:00,12135124,10
RTD6055448,16:00:00,16:00:00,12135125,1
RTD6055448,16:10:00,16:10:00,12011430,2
RTD6055448,16:15:00,16:15:00,12011377,3
RTD6055448,16:18:00,16:18:00,1537439,4
RTD6055448,16:22:00,16:22:00,12011431,5
RTD6055448,16:26:00,16:26:00,12011386,6
RTD6055448,16:30:00,16:30:00,12011322,7
RTD6055448,16:34:00,16:34:00,12011347,8
RTD6055448,16:39:00,16:39:00,12011445,9
RTD6055448,16:44:00,16:44:00,12135124,10
RTD6055513,16:30:00,16:30:00,12135125,1
RTD6055513,16:40:00,16:40:00,12011430,2
RTD6055513,16:45:00,16:45:00,12011377,3
RTD6055513,16:48:00,16:48:00,1537439,4
RTD6055513,16:52:00,16:52:00,12011431,5
RTD6055513,16:56:00,16:56:00,12011386,6
RTD6055513,17:00:00,17:00:00,12011322,7
RTD6055513,17:04:00,17:04:00,12011347,8
